2019-09-27 13:42:14.457 hello I am string debug 
2019-09-27 13:45:45.340 hello I am string debug 
2019-09-27 13:45:46.650 **0**flash ready ? 0 ; current sector number 4
2019-09-27 13:45:47.865 **1**flash ready ? 0 ; current sector number 1
2019-09-27 13:45:49.079 **2**flash ready ? 0 ; current sector number 4
2019-09-27 13:45:50.293 **3**flash ready ? 0 ; current sector number 5
2019-09-27 13:45:51.511 **4**flash ready ? 0 ; current sector number 2
2019-09-27 13:45:52.728 **5**flash ready ? 0 ; current sector number 5
2019-09-27 13:45:53.936 **6**flash ready ? 0 ; current sector number 3
2019-09-27 13:45:55.153 **7**flash ready ? 0 ; current sector number 3
2019-09-27 13:45:56.368 **8**flash ready ? 0 ; current sector number 1
2019-09-27 13:45:57.582 **9**flash ready ? 0 ; current sector number 4
2019-09-27 13:45:58.800 **10**flash ready ? 1 ; current sector number 1
2019-09-27 13:46:00.015 **11**flash ready ? 1 ; current sector number 4
2019-09-27 13:46:01.224 **12**flash ready ? 1 ; current sector number 5
2019-09-27 13:46:02.438 **13**flash ready ? 1 ; current sector number 2
2019-09-27 13:46:03.652 **14**flash ready ? 1 ; current sector number 5
2019-09-27 13:46:04.867 **15**flash ready ? 1 ; current sector number 3
2019-09-27 13:46:06.083 **16**flash ready ? 1 ; current sector number 0
2019-09-27 13:46:07.297 **17**flash ready ? 1 ; current sector number 0
2019-09-27 13:46:08.548 **18**flash ready ? 1 ; current sector number 4
2019-09-27 13:46:09.762 **19**flash ready ? 1 ; current sector number 1
2019-09-27 13:46:10.977 **20**flash ready ? 1 ; current sector number 4
2019-09-27 13:46:12.192 **21**flash ready ? 0 ; current sector number 5
2019-09-27 13:46:13.409 **22**flash ready ? 0 ; current sector number 2
2019-09-27 13:46:14.625 **23**flash ready ? 0 ; current sector number 5
2019-09-27 13:46:15.834 **24**flash ready ? 0 ; current sector number 3
2019-09-27 13:46:17.050 **25**flash ready ? 0 ; current sector number 0
2019-09-27 13:46:18.268 **26**flash ready ? 0 ; current sector number 0
2019-09-27 13:46:19.476 **27**flash ready ? 0 ; current sector number 4
2019-09-27 13:46:20.691 **28**flash ready ? 0 ; current sector number 1
2019-09-27 13:46:21.908 **29**flash ready ? 0 ; current sector number 4
2019-09-27 13:46:23.122 **30**flash ready ? 0 ; current sector number 5
2019-09-27 13:46:24.343 **31**flash ready ? 0 ; current sector number 2
2019-09-27 13:46:25.559 **32**flash ready ? 1 ; current sector number 5
2019-09-27 13:46:26.774 **33**flash ready ? 1 ; current sector number 3
2019-09-27 13:46:27.993 **34**flash ready ? 1 ; current sector number 0
2019-09-27 13:46:29.214 **35**flash ready ? 1 ; current sector number 0
2019-09-27 13:46:30.434 **36**flash ready ? 1 ; current sector number 4
2019-09-27 13:46:31.647 **37**flash ready ? 1 ; current sector number 1
2019-09-27 13:46:32.863 **38**flash ready ? 1 ; current sector number 4
2019-09-27 13:46:34.080 **39**flash ready ? 1 ; current sector number 1
2019-09-27 13:46:35.299 **40**flash ready ? 1 ; current sector number 2
2019-09-27 13:46:36.516 **41**flash ready ? 1 ; current sector number 5
